index,country,confirmed,date,recovered,deaths
0,Afghanistan,0.0,2020-01-22,0.0,0.0
1,Afghanistan,0.0,2020-01-23,0.0,0.0
2,Afghanistan,0.0,2020-01-24,0.0,0.0
3,Afghanistan,0.0,2020-01-25,0.0,0.0
4,Afghanistan,0.0,2020-01-26,0.0,0.0
5,Afghanistan,0.0,2020-01-27,0.0,0.0
6,Afghanistan,0.0,2020-01-28,0.0,0.0
7,Afghanistan,0.0,2020-01-29,0.0,0.0
8,Afghanistan,0.0,2020-01-30,0.0,0.0
9,Afghanistan,0.0,2020-01-31,0.0,0.0
10,Afghanistan,0.0,2020-02-01,0.0,0.0
11,Afghanistan,0.0,2020-02-02,0.0,0.0
12,Afghanistan,0.0,2020-02-03,0.0,0.0
13,Afghanistan,0.0,2020-02-04,0.0,0.0
14,Afghanistan,0.0,2020-02-05,0.0,0.0
15,Afghanistan,0.0,2020-02-06,0.0,0.0
16,Afghanistan,0.0,2020-02-07,0.0,0.0
17,Afghanistan,0.0,2020-02-08,0.0,0.0
18,Afghanistan,0.0,2020-02-09,0.0,0.0
19,Afghanistan,0.0,2020-02-10,0.0,0.0
20,Afghanistan,0.0,2020-02-11,0.0,0.0
21,Afghanistan,0.0,2020-02-12,0.0,0.0
22,Afghanistan,0.0,2020-02-13,0.0,0.0
23,Afghanistan,0.0,2020-02-14,0.0,0.0
24,Afghanistan,0.0,2020-02-15,0.0,0.0
25,Afghanistan,0.0,2020-02-16,0.0,0.0
26,Afghanistan,0.0,2020-02-17,0.0,0.0
27,Afghanistan,0.0,2020-02-18,0.0,0.0
28,Afghanistan,0.0,2020-02-19,0.0,0.0
29,Afghanistan,0.0,2020-02-20,0.0,0.0
30,Afghanistan,0.0,2020-02-21,0.0,0.0
31,Afghanistan,0.0,2020-02-22,0.0,0.0
32,Afghanistan,0.0,2020-02-23,0.0,0.0
33,Afghanistan,1.0,2020-02-24,0.0,0.0
34,Afghanistan,0.0,2020-02-25,0.0,0.0
35,Afghanistan,0.0,2020-02-26,0.0,0.0
36,Afghanistan,0.0,2020-02-27,0.0,0.0
37,Afghanistan,0.0,2020-02-28,0.0,0.0
38,Afghanistan,0.0,2020-02-29,0.0,0.0
39,Afghanistan,0.0,2020-03-01,0.0,0.0
40,Afghanistan,0.0,2020-03-02,0.0,0.0
41,Afghanistan,0.0,2020-03-03,0.0,0.0
42,Afghanistan,0.0,2020-03-04,0.0,0.0
43,Afghanistan,0.0,2020-03-05,0.0,0.0
44,Afghanistan,0.0,2020-03-06,0.0,0.0
45,Afghanistan,0.0,2020-03-07,0.0,0.0
46,Afghanistan,3.0,2020-03-08,0.0,0.0
47,Afghanistan,0.0,2020-03-09,0.0,0.0
48,Afghanistan,1.0,2020-03-10,0.0,0.0
49,Afghanistan,2.0,2020-03-11,0.0,0.0
50,Afghanistan,0.0,2020-03-12,0.0,0.0
51,Afghanistan,0.0,2020-03-13,0.0,0.0
52,Afghanistan,4.0,2020-03-14,0.0,0.0
53,Afghanistan,5.0,2020-03-15,0.0,0.0
54,Afghanistan,5.0,2020-03-16,1.0,0.0
55,Afghanistan,1.0,2020-03-17,0.0,0.0
56,Afghanistan,0.0,2020-03-18,0.0,0.0
57,Afghanistan,0.0,2020-03-19,0.0,0.0
58,Afghanistan,2.0,2020-03-20,0.0,0.0
59,Afghanistan,0.0,2020-03-21,0.0,0.0
60,Afghanistan,16.0,2020-03-22,0.0,1.0
61,Afghanistan,0.0,2020-03-23,0.0,0.0
62,Afghanistan,34.0,2020-03-24,0.0,0.0
63,Afghanistan,10.0,2020-03-25,1.0,1.0
64,Afghanistan,10.0,2020-03-26,0.0,2.0
65,Afghanistan,16.0,2020-03-27,0.0,0.0
66,Afghanistan,0.0,2020-03-28,0.0,0.0
67,Afghanistan,10.0,2020-03-29,0.0,0.0
68,Afghanistan,50.0,2020-03-30,0.0,0.0
69,Afghanistan,4.0,2020-03-31,3.0,0.0
70,Afghanistan,63.0,2020-04-01,0.0,0.0
71,Afghanistan,36.0,2020-04-02,5.0,2.0
72,Afghanistan,8.0,2020-04-03,0.0,0.0
73,Afghanistan,18.0,2020-04-04,0.0,1.0
74,Afghanistan,50.0,2020-04-05,5.0,0.0
75,Afghanistan,18.0,2020-04-06,3.0,4.0
76,Afghanistan,56.0,2020-04-07,0.0,3.0
77,Afghanistan,21.0,2020-04-08,11.0,0.0
78,Afghanistan,40.0,2020-04-09,3.0,1.0
79,Afghanistan,37.0,2020-04-10,0.0,0.0
80,Afghanistan,34.0,2020-04-11,0.0,3.0
81,Afghanistan,52.0,2020-04-12,0.0,0.0
82,Afghanistan,58.0,2020-04-13,0.0,3.0
83,Afghanistan,49.0,2020-04-14,8.0,2.0
84,Afghanistan,70.0,2020-04-15,3.0,2.0
85,Afghanistan,56.0,2020-04-16,11.0,5.0
86,Afghanistan,66.0,2020-04-17,45.0,0.0
87,Afghanistan,27.0,2020-04-18,13.0,0.0
88,Afghanistan,63.0,2020-04-19,19.0,3.0
89,Afghanistan,30.0,2020-04-20,4.0,3.0
90,Afghanistan,66.0,2020-04-21,15.0,0.0
91,Afghanistan,84.0,2020-04-22,16.0,4.0
92,Afghanistan,103.0,2020-04-23,13.0,2.0
93,Albania,0.0,2020-01-22,0.0,0.0
94,Albania,0.0,2020-01-23,0.0,0.0
95,Albania,0.0,2020-01-24,0.0,0.0
96,Albania,0.0,2020-01-25,0.0,0.0
97,Albania,0.0,2020-01-26,0.0,0.0
98,Albania,0.0,2020-01-27,0.0,0.0
99,Albania,0.0,2020-01-28,0.0,0.0
100,Albania,0.0,2020-01-29,0.0,0.0
101,Albania,0.0,2020-01-30,0.0,0.0
102,Albania,0.0,2020-01-31,0.0,0.0
103,Albania,0.0,2020-02-01,0.0,0.0
104,Albania,0.0,2020-02-02,0.0,0.0
105,Albania,0.0,2020-02-03,0.0,0.0
106,Albania,0.0,2020-02-04,0.0,0.0
107,Albania,0.0,2020-02-05,0.0,0.0
108,Albania,0.0,2020-02-06,0.0,0.0
109,Albania,0.0,2020-02-07,0.0,0.0
110,Albania,0.0,2020-02-08,0.0,0.0
111,Albania,0.0,2020-02-09,0.0,0.0
112,Albania,0.0,2020-02-10,0.0,0.0
113,Albania,0.0,2020-02-11,0.0,0.0
114,Albania,0.0,2020-02-12,0.0,0.0
115,Albania,0.0,2020-02-13,0.0,0.0
116,Albania,0.0,2020-02-14,0.0,0.0
117,Albania,0.0,2020-02-15,0.0,0.0
118,Albania,0.0,2020-02-16,0.0,0.0
119,Albania,0.0,2020-02-17,0.0,0.0
120,Albania,0.0,2020-02-18,0.0,0.0
121,Albania,0.0,2020-02-19,0.0,0.0
122,Albania,0.0,2020-02-20,0.0,0.0
123,Albania,0.0,2020-02-21,0.0,0.0
124,Albania,0.0,2020-02-22,0.0,0.0
125,Albania,0.0,2020-02-23,0.0,0.0
126,Albania,0.0,2020-02-24,0.0,0.0
127,Albania,0.0,2020-02-25,0.0,0.0
128,Albania,0.0,2020-02-26,0.0,0.0
129,Albania,0.0,2020-02-27,0.0,0.0
130,Albania,0.0,2020-02-28,0.0,0.0
131,Albania,0.0,2020-02-29,0.0,0.0
132,Albania,0.0,2020-03-01,0.0,0.0
133,Albania,0.0,2020-03-02,0.0,0.0
134,Albania,0.0,2020-03-03,0.0,0.0
135,Albania,0.0,2020-03-04,0.0,0.0
136,Albania,0.0,2020-03-05,0.0,0.0
137,Albania,0.0,2020-03-06,0.0,0.0
138,Albania,0.0,2020-03-07,0.0,0.0
139,Albania,0.0,2020-03-08,0.0,0.0
140,Albania,2.0,2020-03-09,0.0,0.0
141,Albania,8.0,2020-03-10,0.0,0.0
142,Albania,2.0,2020-03-11,0.0,1.0
143,Albania,11.0,2020-03-12,0.0,0.0
144,Albania,10.0,2020-03-13,0.0,0.0
145,Albania,5.0,2020-03-14,0.0,0.0
146,Albania,4.0,2020-03-15,0.0,0.0
147,Albania,9.0,2020-03-16,0.0,0.0
148,Albania,4.0,2020-03-17,0.0,0.0
149,Albania,4.0,2020-03-18,0.0,1.0
150,Albania,5.0,2020-03-19,0.0,0.0
151,Albania,6.0,2020-03-20,0.0,0.0
152,Albania,6.0,2020-03-21,2.0,0.0
153,Albania,13.0,2020-03-22,0.0,0.0
154,Albania,15.0,2020-03-23,0.0,2.0
155,Albania,19.0,2020-03-24,8.0,1.0
156,Albania,23.0,2020-03-25,7.0,0.0
157,Albania,28.0,2020-03-26,0.0,1.0
158,Albania,12.0,2020-03-27,14.0,2.0
159,Albania,11.0,2020-03-28,0.0,2.0
160,Albania,15.0,2020-03-29,2.0,0.0
161,Albania,11.0,2020-03-30,11.0,1.0
162,Albania,20.0,2020-03-31,8.0,4.0
163,Albania,16.0,2020-04-01,15.0,0.0
164,Albania,18.0,2020-04-02,9.0,1.0
165,Albania,27.0,2020-04-03,13.0,1.0
166,Albania,29.0,2020-04-04,10.0,3.0
167,Albania,28.0,2020-04-05,5.0,0.0
168,Albania,16.0,2020-04-06,12.0,1.0
169,Albania,6.0,2020-04-07,15.0,1.0
170,Albania,17.0,2020-04-08,23.0,0.0
171,Albania,9.0,2020-04-09,11.0,1.0
172,Albania,7.0,2020-04-10,17.0,0.0
173,Albania,17.0,2020-04-11,15.0,0.0
174,Albania,13.0,2020-04-12,20.0,0.0
175,Albania,21.0,2020-04-13,15.0,0.0
176,Albania,8.0,2020-04-14,16.0,1.0
177,Albania,19.0,2020-04-15,3.0,1.0
178,Albania,24.0,2020-04-16,26.0,1.0
179,Albania,21.0,2020-04-17,6.0,0.0
180,Albania,9.0,2020-04-18,19.0,0.0
181,Albania,14.0,2020-04-19,12.0,0.0
182,Albania,22.0,2020-04-20,13.0,0.0
183,Albania,25.0,2020-04-21,18.0,0.0
184,Albania,25.0,2020-04-22,11.0,1.0
